ADM2_EN,ADM2_PCODE,ADM2_REF,ADM2ALT1_EN,ADM2ALT2_EN,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,DATE,VALIDON,VALID_TO,AREA_SQKM
Rangamati,BD2084,,,,Chittagong,BD20,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,5762.95941663669
Rangpur,BD5585,,,,Rangpur,BD55,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,2343.98475499476
Satkhira,BD4087,,,,Khulna,BD40,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,3390.40283030799
Shariatpur,BD3086,,,,Dhaka,BD30,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,1186.19608677036
Sherpur,BD4589,,,,Mymensingh,BD45,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,1326.03653185398
Sirajganj,BD5088,,,,Rajshahi,BD50,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,2494.30191903273
Sunamganj,BD6090,,,,Sylhet,BD60,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,3693.58371991987
Sylhet,BD6091,,,,Sylhet,BD60,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,3417.92465829714
Tangail,BD3093,,,,Dhaka,BD30,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,3366.37405655939
Thakurgaon,BD5594,,,,Rangpur,BD55,Bangladesh,BD,2015-01-01 00:00:00,2020-11-13 00:00:00,,1814.20604111119
